1,Godrej Appliances,"Innovating for Sustainability: Driving Smart Resource Conservation (Energy & Water) in Home Appliances (Refrigerators, Air Conditioners, Washing Machines and Desert Air Coolers)",Hardware,SIH1524,5,Smart Resource Conservation,2024-09-12 01:00:56
2,Godrej Appliances,"Innovating for Sustainability: Driving Smart Resource Conservation (Energy & Water) in Home Appliances (Refrigerators, Air Conditioners, Washing Machines and Desert Air Coolers)",Software,SIH1525,1,Smart Resource Conservation,2024-09-12 01:00:56
3,"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SIH1526,5,Smart Education,2024-09-12 01:00:56
4,"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SIH1527,6,Disaster Management,2024-09-12 01:00:56
5,"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SIH1528,8,Miscellaneous,2024-09-12 01:00:56
6,"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SIH1529,3,Blockchain & Cybersecurity,2024-09-12 01:00:56
7,"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SIH1530,10,Renewable / Sustainable Energy,2024-09-12 01:00:56
8,"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SIH1531,4,Travel & Tourism,2024-09-12 01:00:56
9,"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SIH1532,6,Clean & Green Technology,2024-09-12 01:00:56
10,"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SIH1533,12,Robotics and Drones,2024-09-12 01:00:56
11,"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SIH1534,3,Transportation & Logistics,2024-09-12 01:00:56
12,"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SIH1535,7,Smart Vehicles,2024-09-12 01:00:56
13,"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SIH1536,3,"Agriculture, FoodTech & Rural Development",2024-09-12 01:00:56
14,"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SIH1537,13,MedTech / BioTech / HealthTech,2024-09-12 01:00:56
15,"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SIH1538,1,Heritage & Culture,2024-09-12 01:00:56
16,"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SIH1539,1,Fitness & Sports,2024-09-12 01:00:56
17,"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SIH1540,4,Smart Automation,2024-09-12 01:00:56
18,"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SIH1541,0,Toys & Games,2024-09-12 01:00:56
19,"AICTE, MIC-Student Innovation",Student Innovation,Hardware,SIH1542,3,Space Technology,2024-09-12 01:00:56
20,Autodesk,"Research and redesign a conventional aerospace component commonly found in air vehicles and utilize Fusion software to reimagine its design. Students can use Fusion Features such as Generative Design, Topology Optimization, Additive Build etc. The redesigned component should showcase innovation, enhanced functionality, and improved efficiency, all while being optimized for 3D printing.",Hardware,SIH1543,1,Smart Automation,2024-09-12 01:00:56
21,Autodesk,"Students are supposed to use Fusion software to generate NC code with machine details & tool library for any industrial component. 
 students should possess technical skills in areas such as CAD/CAM software, G-code programming, toolpath optimization, and machining fundamentals. Additionally, their project ideas should demonstrate a viable solution to a real-world problem, ensuring feasibility and practicality in implementation.",Hardware,SIH1544,0,Smart Automation,2024-09-12 01:00:56
22,Department of Science and Technology,"Development of a non-electrical device for tracking the movement of the sun for movement of the solar panels, increasing their efficiency.",Hardware,SIH1545,4,Renewable / Sustainable Energy,2024-09-12 01:00:56
23,Department of Science and Technology,Development of innovative design for flushing systems in western toilet sheets which can be used for deployment in public toilets.,Hardware,SIH1546,1,Miscellaneous,2024-09-12 01:00:56
24,Department of Science and Technology,Development of an alternative technology to check blockage of blood vessels (an alternative to conventional angiography.,Hardware,SIH1547,0,MedTech / BioTech / HealthTech,2024-09-12 01:00:56
25,Department of Science and Technology,Development of a suction based low-cost flush (with less water usage) for deployment in rural areas.,Hardware,SIH1548,1,Miscellaneous,2024-09-12 01:00:56
26,"Department of Science and Technology
","Development of chemical strip (non-electronic) for identification of high temperature exposure in transportation of medicines/vaccines/FMCG goods, to ensure its usability.",Hardware,SIH1549,0,MedTech / BioTech / HealthTech,2024-09-12 01:00:56
27,"Department of Science and Technology
",Development of portable device (non-contact device) for measurement of eye pressure in glaucoma patients for usage at home.,Hardware,SIH1550,2,MedTech / BioTech / HealthTech,2024-09-12 01:00:56
28,Ministry of Agriculture and Farmers Welfare,Smart Irrigation System for Precision Farming,Hardware,SIH1554,9,"Agriculture, FoodTech & Rural Development",2024-09-12 01:00:56
29,Ministry of AYUSH,"Create a Virtual Herbal Garden that provides an interactive, educational, and immersive experience to users, showcasing the diverse range of medicinal plants used in AYUSH (Ayurveda, Yoga & Naturopathy, Unani, Siddha, and Homeopathy).",Software,SIH1555,13,MedTech / BioTech / HealthTech,2024-09-12 01:00:56
30,Ministry of AYUSH,"Develop a Smart Yoga Mat integrated with Artificial Intelligence (AI) capabilities to support smart watch integration for tracking progress and provide curated yoga content by experts, while ensuring its affordability.",Hardware,SIH1556,2,MedTech / BioTech / HealthTech,2024-09-12 01:00:56
31,Ministry of Coal,"Development of Tyre Maintenance and Operation App, including fitment of necessary IIoT related hardware in Dumpers",Hardware,SIH1557,3,Smart Automation,2024-09-12 01:00:56
32,Ministry of Culture,Al-based automated defective exhibit identification system placed in a gallery.,Hardware,SIH1558,0,Smart Automation,2024-09-12 01:00:56
33,Ministry of Electronics and Information Technology,Develop a functional solution that demonstrates the hardware enabled root of trust.,Hardware,SIH1559,0,Smart Automation,2024-09-12 01:00:56
34,"Ministry of Fisheries, Animal Husbandry and Dairying","Rapid colorimetric and artificial intelligence-based methods for determining the microbial quality of raw milk, processed milk, and milk products",Hardware,SIH1560,0,MedTech / BioTech / HealthTech,2024-09-12 01:00:56
35,"Ministry of Fisheries, Animal Husbandry and Dairying","Affordable, Sustainable, and User-friendly Solutions for Semen Dose Storage and Distribution",Hardware,SIH1561,2,"Agriculture, FoodTech & Rural Development",2024-09-12 01:00:56
36,Narcotics Control Bureau (NCB),Solution for end-to-end tracking of dual use chemicals used in both legitimate industries and illicit drug production from point of manufacture to point of end use/export.,Hardware,SIH1562,1,Blockchain & Cybersecurity,2024-09-12 01:00:56
37,National Technical Research Organisation (NTRO),Automatic Change detection in Synthetic Aperture Radar satellite images,Hardware,SIH1563,0,Space Technology,2024-09-12 01:00:56
38,National Technical Research Organisation (NTRO),Automatic Road Extraction and alert generation for new roads,Hardware,SIH1564,0,Space Technology,2024-09-12 01:00:56
39,National Technical Research Organisation (NTRO),Target detection by optimizing Anomaly Detection in Hyperspectral Image Processing using AI/ML,Hardware,SIH1565,1,Clean & Green Technology,2024-09-12 01:00:56
40,"The National Disaster Response Force (NDRF), MHA",Enhancing body detection in CSSR Operations Using Advanced Technology,Hardware,SIH1566,1,Disaster Management,2024-09-12 01:00:56
41,Ministry of Jal Shakti,"Grey Water Management (GWM) - Designing low-cost testing kits capable of detecting bacterial, faecal, and microbial contaminants in groundwater.",Hardware,SIH1567,0,Clean & Green Technology,2024-09-12 01:00:56
42,Ministry of Jal Shakti,GOBARdhan - Simple control systems and/or instrumentation for small biogas plants that will allow better process control leading to effective digestion and improved yield of biogas.,Hardware,SIH1568,1,Clean & Green Technology,2024-09-12 01:00:56
43,Ministry of Jal Shakti,Personalized testing kits for testing Residual Chlorine level at delivery points,Hardware,SIH1569,1,Smart Automation,2024-09-12 01:00:56
44,Ministry of Jal Shakti,Designing and development of a pressure transducer based equipment with a well cap for measurement of heads in autoflow wells,Hardware,SIH1570,0,Miscellaneous,2024-09-12 01:00:56
45,Ministry of Jal Shakti,Drone-based Intelligent ET sensing system and irrigation water use accounting system for irrigation commands.,Hardware,SIH1571,0,Robotics and Drones,2024-09-12 01:00:56
